Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,0.0049264,6.0158E-05,0.0038711,0,0,0,0.18254,5.6791E-05,-7.1226E-08,1.3301E-06,4.4075E-05,1.6846E-10,5.4563E-05,0,0,0,0,0,0,package://xgo_biped/meshes/body.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://xgo_biped/meshes/body.STL,,link_0-1,body_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fr_hip,-0.009819,-0.019888,-7.3131E-05,0,0,0,0.0054132,1.4009E-06,2.7332E-07,1.0054E-09,8.4187E-07,-4.1403E-09,1.9682E-06,0,0,0,0,0,0,package://xgo_biped/meshes/fr_hip.STL,1,0.6,0.19608,1,0,0,0,0,0,0,package://xgo_biped/meshes/fr_hip.STL,,Link1-2,fr_hip_joint,fr_hip_axis,fr_hip_joint,revolute,0.019871,-0.013527,-0.013452,0,0,0,body,-1,0,0,0,0,0,0,,,,,,,,
fr_thigh,0.0005393,0.014643,-0.032876,0,0,0,0.026333,3.1268E-06,-4.4763E-10,1.2168E-07,2.8223E-06,9.2651E-10,2.5703E-06,0,0,0,0,0,0,package://xgo_biped/meshes/fr_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://xgo_biped/meshes/fr_thigh.STL,,link_2-3,fr_thigh_joint,fr_thigh_axis,fr_thigh_joint,revolute,-0.0145,-0.044,-0.00016176,0,0,0,fr_hip,0,-0.99999,-0.0036764,0,0,0,0,,,,,,,,
fr_calf,-0.0084428,0.014649,-0.040152,0,0,0,0.016674,3.5719E-06,-1.3901E-10,2.9251E-08,2.701E-06,4.472E-09,1.4276E-06,0,0,0,0,0,0,package://xgo_biped/meshes/fr_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://xgo_biped/meshes/fr_calf.STL,,link_3-1,fr_calf_joint,fr_calf_axis,fr_calf_joint,revolute,0.013,0.00021535,-0.058574,0,0,0,fr_thigh,0,-0.99999,-0.0036764,0,0,0,0,,,,,,,,
fr_foot,-0.0013762,0.014545,-0.012161,0,0,0,0.01419,1.6837E-06,-2.5269E-10,6.7634E-08,3.187E-06,-3.2385E-09,4.0677E-06,0,0,0,0,0,0,package://xgo_biped/meshes/fr_foot.STL,1,0.6,0.19608,1,0,0,0,0,0,0,package://xgo_biped/meshes/fr_foot.STL,,Link4-1,fr_foot_joint,fr_foot_axis,fr_foot_joint,revolute,-0.013,0.00021535,-0.058574,0,0,0,fr_calf,0,-0.99999,-0.0036764,0,0,0,0,,,,,,,,
fl_hip,-0.009819,0.019883,-0.00046622,0,0,0,0.0054132,1.4009E-06,-2.7325E-07,6.407E-09,8.4248E-07,2.6398E-08,1.9676E-06,0,0,0,0,0,0,package://xgo_biped/meshes/fl_hip.STL,1,0.6,0.19608,1,0,0,0,0,0,0,package://xgo_biped/meshes/fl_hip.STL,,Link1-1,fl_hip_joint,fl_hip_axis,fl_hip_joint,revolute,0.019871,0.013673,-0.013452,0,0,0,body,-1,0,0,0,0,0,0,,,,,,,,
fl_thigh,0.0005393,-0.015246,-0.032582,0,0,0,0.026333,3.1268E-06,2.8524E-09,1.2165E-07,2.8221E-06,-5.9049E-09,2.5705E-06,0,0,0,0,0,0,package://xgo_biped/meshes/fl_thigh.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://xgo_biped/meshes/fl_thigh.STL,,link_2-4,fl_thigh_joint,fl_thigh_axis,fl_thigh_joint,revolute,-0.0145,0.043988,-0.0010315,0,0,0,fl_hip,0,0.99973,-0.023443,0,0,0,0,,,,,,,,
fl_calf,-0.0084428,-0.015437,-0.039855,0,0,0,0.016674,3.5719E-06,6.5428E-10,2.9244E-08,2.7004E-06,-3.0056E-08,1.4283E-06,0,0,0,0,0,0,package://xgo_biped/meshes/fl_calf.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://xgo_biped/meshes/fl_calf.STL,,link_3-2,fl_calf_joint,fl_calf_axis,fl_calf_joint,revolute,0.013,-0.0013732,-0.058559,0,0,0,fl_thigh,0,-0.99973,0.023443,0,0,0,0,,,,,,,,
fl_foot,-0.0013762,-0.014782,-0.011871,0,0,0,0.01419,1.6837E-06,1.5814E-09,6.7616E-08,3.1875E-06,2.064E-08,4.0672E-06,0,0,0,0,0,0,package://xgo_biped/meshes/fl_foot.STL,1,0.6,0.19608,1,0,0,0,0,0,0,package://xgo_biped/meshes/fl_foot.STL,,Link4-2,fl_foot_joint,fl_foot_axis,fl_foot_joint,revolute,-0.013,-0.0013732,-0.058559,0,0,0,fl_calf,0,-0.99973,0.023443,0,0,0,0,,,,,,,,
